uf,week,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
AC,1,50,5.975000000000001,8,12,24,92,154.10000000000014,226.04999999999995,305
AC,2,58,6.975000000000001,9,14,29,105,183,261.04999999999995,350.0499999999997
AC,3,69,7.975000000000001,11,18,34,125,229.10000000000014,310.0999999999999,421.0749999999996
AC,4,79,10,14,22,42,151,256.10000000000014,354,461.0499999999997
AC,5,96,11,17,26,48,176,305.10000000000014,409.14999999999986,561
AC,6,108,13.975000000000001,19,30,56,197,342.10000000000014,476.14999999999986,639.0249999999999
AC,7,125,15,22,35,65,237,413.10000000000014,588.05,825.1999999999989
AC,8,141.5,16,26,39,71,264.25,447.10000000000014,628,891.0749999999996
AC,9,154.5,18,29,45,80,290,508,685.1999999999998,938.3999999999978
AC,10,172,20,28.950000000000003,46,91,320,563.1000000000001,763,1009.0249999999999
AC,11,180,21,34.95,50,93,333.25,572.1000000000001,763.4499999999996,1064.6249999999966
AC,12,196.5,22,33,52,99,370.25,635.1000000000001,879.5499999999995,1210.724999999996
AC,13,197,26,38,56,103,367,651,869.05,1106.1499999999992
AC,14,213,25.950000000000003,36.95,56.900000000000006,108,394.25,685.1000000000001,950.6999999999994,1338.6749999999963
AC,15,229.5,27,36,59,114.75,418.25,730,1042.4499999999996,1435
AC,16,231.5,31,46,64.9,119,441.25,756,1099.4999999999995,1439.0499999999997
AC,17,242,28,42,63,125,460,780.1000000000001,1108.3999999999996,1458.5749999999969
AC,18,245.5,29.975,41,62,122,453.5,810,1080.2999999999997,1486.1499999999992
AC,19,230.5,27.975,40,59,122,426,722,1030.2999999999997,1312.0249999999999
AC,20,217,26,35,55,113,412.25,742.1000000000001,1006.1499999999999,1261.199999999999
AC,21,202,25,35,56,103,377.25,647,933.5499999999995,1308.2249999999988
AC,22,178.5,19,29,46,92.75,335,576.1000000000001,820.1499999999999,1165.4749999999974
AC,23,160,20,29,43,83,301,523.1000000000001,715.3499999999997,1016.2499999999986
AC,24,148,15.975000000000001,24,37.900000000000006,76,264,459.3000000000004,638.05,919.0249999999999
AC,25,129,15,23,34,67.75,236,401,560.5499999999995,840.0749999999996
AC,26,112,13,19,30,57,214,388,527.05,739.0999999999995
AC,27,98,13,18,27,51,185,332,458,584.0999999999995
AC,28,92.5,10,15,25,50,175,310.10000000000014,433.2499999999998,593.0749999999996
AC,29,85,10,14,21.900000000000006,42,158,262.10000000000014,366.04999999999995,508.1499999999992
AC,30,77,8,13,20,38,141,258,372.04999999999995,475.02499999999986
AC,31,68,7,12,19,35,125,219,312.04999999999995,417.1999999999989
AC,32,62,6.975000000000001,11,16,32,121,214,304.04999999999995,409.02499999999986
AC,33,56,6,9,15,29,106,190,254,327.2249999999988
AC,34,52,6,9,14,27,95,163,233.04999999999995,306.2249999999988
AC,35,45,5,7,12,23,85,146,212.04999999999995,288.0499999999997
AC,36,39,4,6,9,19,71,126.10000000000014,174.14999999999986,265.02499999999986
AC,37,34,3.9750000000000014,5,8,17,65,116,164.0999999999999,223.0749999999996
AC,38,31,4,5,8,16,60,107.10000000000014,144,194
AC,39,29,4,5,8,15,54,92,128,165.04999999999973
AC,40,28,3,4,7,14,51.25,89,120,156.04999999999973
AC,41,26,3,4,6,13,48,88,124,170.04999999999973
AC,42,25,2,4,6,12,49,83.10000000000014,113,142
AC,43,24,2,4,6,12,44,78,107,140
AC,44,23,2,4,6,12,45,77.10000000000014,105,144.02499999999986
AC,45,22,2,3,5.900000000000006,11,42,76,106.04999999999995,142
AC,46,24,2,4,6,11,44,77,111.04999999999995,155
AC,47,23,2,4,6,12,44,77,105.04999999999995,137
AC,48,24,2,3,6,12,45,76,110,157.02499999999986
AC,49,26,2,4,6,13,50,86,123,165
AC,50,28,2,4,7,15,53,91,124,172.02499999999986
AC,51,33,3,5.950000000000003,8,16,61,107,146.04999999999995,205
AC,52,36,4,7,10,18,68,121.10000000000014,161,222
AC,53,43,5,7,11.900000000000006,21,80,135.10000000000014,190.04999999999995,256.09999999999945
AL,1,101,10,15,24,47,198,414.10000000000014,721.5499999999995,1155.749999999996
AL,2,91,9,14.950000000000003,22,44,183.25,393.5000000000007,643.0999999999999,978.0249999999999
AL,3,84,8,13,21,42,174.25,355,561,890.0749999999996
